           0            1            0 -1.01992e-16            0  2.19047e-17            0 -1.49896e-16            0  2.58629e-16            0  1.33202e-17            0  8.99625e-17            0 -1.42372e-16            0  1.34305e-16
          -1            0  1.01992e-16            0  2.19047e-17            0 -1.49896e-16            0 -2.58629e-16            0 -1.33202e-17            0  8.99625e-17            0 -1.42372e-16            0 -1.34305e-16            0
           0 -1.01992e-16            0     0.696833            0            0            0     0.633484            0  -5.8262e-17            0     0.159979            0     0.175977            0     0.175977            0    -0.159979
 1.01992e-16            0    -0.696833            0            0            0     0.633484            0   5.8262e-17            0    -0.159979            0     0.175977            0     0.175977            0     0.159979            0
           0 -2.19047e-17            0            0            0     0.696833            0            0            0     0.633484            0     0.175977            0     0.159979            0    -0.159979            0     0.175977
-2.19047e-17            0            0            0    -0.696833            0            0            0     0.633484            0     0.175977            0    -0.159979            0     0.159979            0     0.175977            0
           0  1.49896e-16            0    -0.633484            0            0            0     0.696833            0  5.76778e-17            0     0.175977            0    -0.159979            0    -0.159979            0    -0.175977
 1.49896e-16            0    -0.633484            0            0            0    -0.696833            0  5.76778e-17            0     0.175977            0     0.159979            0     0.159979            0    -0.175977            0
           0  2.58629e-16            0  -5.8262e-17            0    -0.633484            0 -5.76778e-17            0     0.696833            0    -0.159979            0     0.175977            0    -0.175977            0    -0.159979
-2.58629e-16            0   5.8262e-17            0    -0.633484            0 -5.76778e-17            0    -0.696833            0     0.159979            0     0.175977            0    -0.175977            0     0.159979            0
           0  1.33202e-17            0     0.159979            0    -0.175977            0    -0.175977            0    -0.159979            0     0.696833            0 -1.87884e-16            0    -0.633484            0 -3.80038e-16
-1.33202e-17            0    -0.159979            0    -0.175977            0    -0.175977            0     0.159979            0    -0.696833            0 -1.87884e-16            0    -0.633484            0  3.80038e-16            0
           0 -8.99625e-17            0    -0.175977            0     0.159979            0    -0.159979            0    -0.175977            0  1.87884e-16            0     0.696833            0  1.90019e-16            0    -0.633484
-8.99625e-17            0    -0.175977            0    -0.159979            0     0.159979            0    -0.175977            0  1.87884e-16            0    -0.696833            0 -1.90019e-16            0    -0.633484            0
           0  1.42372e-16            0    -0.175977            0    -0.159979            0    -0.159979            0     0.175977            0     0.633484            0  1.90019e-16            0     0.696833            0 -3.89646e-16
 1.42372e-16            0    -0.175977            0     0.159979            0     0.159979            0     0.175977            0     0.633484            0 -1.90019e-16            0    -0.696833            0 -3.89646e-16            0
           0  1.34305e-16            0    -0.159979            0    -0.175977            0     0.175977            0    -0.159979            0 -3.84308e-16            0     0.633484            0  3.96051e-16            0     0.696833
-1.34305e-16            0     0.159979            0    -0.175977            0     0.175977            0     0.159979            0  3.84308e-16            0     0.633484            0  3.96051e-16            0    -0.696833            0
